"enum_row_id","provider","model_title","model_url","model_key_inferred","model_enum_on_page","field_path","enum_value","value_order","is_active","updated_at"
"109","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","1:1","1","1","2026-03-12 16:57:50"
"110","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","16:9","2","1","2026-03-12 16:57:50"
"111","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","2:3","3","1","2026-03-12 16:57:50"
"112","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","21:9","4","1","2026-03-12 16:57:50"
"113","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","3:2","5","1","2026-03-12 16:57:50"
"114","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","3:4","6","1","2026-03-12 16:57:50"
"115","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","4:3","7","1","2026-03-12 16:57:50"
"116","kie","Seedream4.5 - Edit","https://docs.kie.ai/market/seedream/4-5-edit.md","seedream/4-5-edit","seedream/4.5-edit","paths.post.input.aspect_ratio","9:16","8","1","2026-03-12 16:57:50"
"117","kie","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","seedream/4-5-text-to-image","seedream/4.5-text-to-image","paths.post.input.aspect_ratio","1:1","1","1","2026-03-12 16:57:50"
"118","kie","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","seedream/4-5-text-to-image","seedream/4.5-text-to-image","paths.post.input.aspect_ratio","16:9","2","1","2026-03-12 16:57:50"
"119","kie","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","seedream/4-5-text-to-image","seedream/4.5-text-to-image","paths.post.input.aspect_ratio","2:3","3","1","2026-03-12 16:57:50"
"120","kie","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","seedream/4-5-text-to-image","seedream/4.5-text-to-image","paths.post.input.aspect_ratio","21:9","4","1","2026-03-12 16:57:50"
"121","kie","Seedream4.5 - Text to Image","https://docs.kie.ai/market/seedream/4-5-text-to-image.md","seedream/4-5-text-to-image","seedream/4.5-text-to-image","paths.post.input.aspect_ratio","3:2","5","1","2026-03-12 16:57:50"
